app_cpu_mean,app_mem_mb_mean,cadvisor_cpu_mean,cadvisor_mem_mb_mean,case,error_rate,grafana_cpu_mean,grafana_mem_mb_mean,mean_latency_ms,p95_latency_ms,prometheus_cpu_mean,prometheus_mem_mb_mean,run,throughput_rps,wall_seconds
8.04,35.7,9.09,57.12,docker_full,0.0,0.08,60.32,3.2901968133410264,4.070428001796245,0.75,62.12,18,2936.8570449141725,0.10215001799952006
0.16,35.52,9.51,58.02,docker_full,0.0,0.02,60.32,3.7682033700366446,5.672039998898981,0.62,64.2,19,2564.996432478555,0.11695922699982475
0.28,35.58,8.64,60.73,docker_full,0.0,0.02,64.94,3.327494389941421,3.938187999665388,0.81,65.79,20,2888.1915767598252,0.10387122599968279
9.27,37.34,,,docker,0.0,,,3.232359189990651,4.177079999863054,,,1,2980.630107006864,0.10064985899953172
8.4,37.16,,,docker,0.0,,,3.267209363317913,5.096574000162946,,,2,2915.0922536884555,0.10291269499975897
8.18,37.89,,,docker,0.0,,,3.1300508066487964,4.618902999936836,,,3,2994.107058374087,0.10019681799985847
16.24,37.87,,,docker,0.0,,,3.335874473335328,4.580319999149651,,,4,2787.5673529842634,0.10762071799945261
8.59,37.79,,,docker,0.0,,,3.2360167166795386,3.9967889997569728,,,5,2897.076154870812,0.103552679999666
8.26,37.2,,,docker,0.0,,,3.122326399992138,4.678344999774708,,,6,2982.3046741507114,0.10059334400011721
8.86,37.27,,,docker,0.0,,,3.285707193366155,3.9859580001575523,,,7,2902.0126434603035,0.10337653100032185
8.68,37.09,,,docker,0.0,,,3.332897956637074,5.523849000383052,,,8,2837.9297752504153,0.1057108610002615
15.88,37.43,,,docker,0.0,,,3.26419360334512,4.849287000070035,,,9,2880.7636650989384,0.10413905299992621
8.74,37.75,,,docker,0.0,,,3.2671841333497773,4.71978199948353,,,10,2895.6012959235763,0.10360542400030681
8.63,37.86,,,docker,0.0,,,3.183284710009199,4.59874399984983,,,11,2943.0776698958025,0.10193410900046729
8.83,37.79,,,docker,0.0,,,3.33414497332645,4.682761999902141,,,12,2832.610213584294,0.10590938299992558
8.45,38.07,,,docker,0.0,,,3.2069108400264668,5.1267190001453855,,,13,2931.4737809580843,0.10233760299979622
15.57,37.73,,,docker,0.0,,,3.2591279166566287,4.599724999934551,,,14,2889.1701057332752,0.10383604599974205
8.53,37.96,,,docker,0.0,,,3.2439753600162176,4.645711999728519,,,15,2901.60669118049,0.10339099400061968
8.51,37.23,,,docker,0.0,,,3.2056377833305305,3.9527239996459684,,,16,2966.5765022086944,0.10112666899931355
8.88,37.04,,,docker,0.0,,,3.4117020966459677,5.030205999901227,,,17,2763.3081495967826,0.10856552500081307
8.72,37.5,,,docker,0.0,,,3.322192559993103,4.376653999315749,,,18,2840.680787339127,0.10560848699969938
16.15,37.9,,,docker,0.0,,,3.2133077333340525,5.045154000072216,,,19,2929.4730534029063,0.10240749600052368
8.78,37.35,,,docker,0.0,,,3.3123129033477503,3.840993999801867,,,20,2838.813288613788,0.10567796099985571
7.61,37.23,4.49,25.37,docker_prometheus,0.0,,,3.4927583899904375,5.405031999544008,0.0,79.69,1,2740.333956095768,0.10947570799999085
8.87,36.64,6.78,29.07,docker_prometheus,0.0,,,3.4017477900063873,5.624324999189412,0.46,78.93,2,2774.2002667419015,0.10813927299932402
0.21,37.39,6.15,29.49,docker_prometheus,0.0,,,3.253299916677861,5.177863999961119,0.91,79.32,3,2901.9806695297907,0.10337766999964515
0.34,36.24,1.5,29.48,docker_prometheus,0.0,,,3.3389803466585968,4.805841000234068,0.48,80.03,4,2832.879380140458,0.10589932000038971
11.0,37.3,1.73,30.94,docker_prometheus,0.0,,,3.954332379989865,5.548172000089835,0.55,81.08,5,2446.0600544213216,0.12264621200029069
8.55,38.11,6.42,31.98,docker_prometheus,0.0,,,3.5452356199887918,4.707545999735885,0.89,80.39,6,2700.29493970363,0.11109897500045918
0.12,36.29,1.14,32.45,docker_prometheus,0.0,,,3.4993257866365943,6.2920829996073735,0.51,81.96,7,2685.1052245843484,0.1117274649996034
0.3,37.07,6.51,34.58,docker_prometheus,0.0,,,3.192004486627411,4.629688999557402,0.63,83.98,8,2954.7956160492677,0.10152986499997496
0.14,37.11,8.2,34.68,docker_prometheus,0.0,,,3.535844599976675,5.53410399970744,0.6,84.21,9,2705.246658177221,0.11089561799963121
10.09,36.88,6.69,35.94,docker_prometheus,0.0,,,3.9215982666579903,7.676983000237669,0.53,84.41,10,2450.844114009674,0.12240680600007181
,,,,docker_prometheus,0.0,,,3.4277203266568295,5.824111000038101,,,11,2755.0463495039194,0.10889109000072494
,,,,docker_prometheus,1.0,,,1.6371477433403925,3.6732349999510916,,,12,5361.096091132916,0.05595870599972841
0.15,35.14,3.5,24.52,docker_prometheus,1.0,,,1.5899856233105916,2.9235510000944487,0.0,61.1,13,5749.919774298317,0.0521746409995103
7.88,37.23,8.9,29.39,docker_prometheus,0.0,,,3.6395004833593703,5.4313290002028225,0.0,61.1,14,2634.798972171329,0.11386067900002672
8.99,36.31,1.76,28.01,docker_prometheus,0.0,,,3.34202410997932,5.368469999666559,0.13,65.44,15,2832.3357768150186,0.10591964499963069
107.93,48.94,5.07,32.18,docker_prometheus,0.0,,,63.48396306665563,644.2611140000736,1.1,66.01,16,157.20932907260828,1.9082836990000942
11.11,36.79,1.89,32.34,docker_prometheus,0.0,,,4.039339293346226,6.12000699948112,0.06,66.3,17,2345.9557298989807,0.12787965099960275
87.30000000000001,43.775000000000006,3.355,32.78,docker_prometheus,0.0,,,157.60490978667195,1235.8682260000933,1.325,66.64,18,63.403623046349075,4.7315908079999645
7.73,38.11,7.23,34.2,docker_prometheus,0.0,,,3.3756877566732633,4.653520999454486,0.0,66.24,19,2800.032932120426,0.10714159700000891
101.32666666666667,38.28333333333333,2.703333333333333,34.763333333333335,docker_prometheus,0.0,,,246.49646521998875,1034.3217520003236,0.7300000000000001,68.11333333333333,20,40.542970812223274,7.399556420999943
0.0,0.0,3.9033333333333333,27.54,docker_full,0.8166666666666667,0.04,66.69333333333334,201.14680341331527,1189.50799599952,0.55,80.85,1,49.683688301591886,6.038199059999897
0.0,0.0,3.2233333333333336,32.553333333333335,docker_full,0.54,0.060000000000000005,66.80333333333333,422.0438999733354,1553.0314870002258,1.5233333333333334,82.48,2,23.685480655852892,12.665987418999975
,,,,docker_full,1.0,,,1.66377520002546,3.005554000083066,,,3,5548.934751629845,0.054064430999460455
,,,,docker_full,0.0,,,122.23224060667235,942.2095250001803,,,4,81.71997604791501,3.671073028999672
,,,,docker_full,0.0,,,3.602838176672473,5.551520000153687,,,5,2641.242489067834,0.11358290699990903
,,,,docker_full,0.9433333333333334,,,72.51868474668602,828.5647259999678,,,6,137.67555302896073,2.1790360990007684
,,,,docker_full,0.0,,,3.731038820020937,4.5268190006027,,,7,2562.1477548542653,0.11708926600022096
,,,,docker_full,0.5666666666666667,,,423.5701367133455,1393.7422810004136,,,8,23.600768833654243,12.711450297000738
,,,,docker_full,1.0,,,1.726973029981309,3.0018349998499616,,,9,5344.710487823663,0.0561302620008064
,,,,docker_full,0.0,,,216.5002749499945,994.3321640002978,,,10,46.160679589107325,6.499037767000118
,,,,docker_full,1.0,,,1.5982911866831273,3.3588080004847143,,,11,5680.78122402859,0.05280963800032623
,,,,docker_full,0.63,,,301.57647238330657,1159.6152069996606,,,12,33.144521464255604,9.051269614000375
,,,,docker_full,1.0,,,1.6592585233168695,2.8168369999548304,,,13,5511.630615408047,0.05443035299958865
,,,,docker_full,0.6933333333333334,,,263.62444531669706,1034.115274999749,,,14,37.9159288769321,7.912241869999889
,,,,docker_full,0.0,,,3.860735029957141,4.786115000570135,,,15,2493.811710151611,0.12029777499992633
,,,,docker_full,0.0,,,125.73444957332869,964.0929560000586,,,16,79.46050198939595,3.775460669000495
,,,,docker_full,0.0,,,3.528159720014325,6.151004999992438,,,17,2710.4913361930785,0.11068103999969026
